,variable,Eigen Values
0,1,4.52212463815
1,2,3.19451442217
2,3,2.09805254983
3,4,1.72381548266
4,5,1.12163125272
5,6,0.977676567227
6,7,0.929925150935
7,8,0.880014933942
8,9,0.75428427126
9,10,0.529422100928
10,11,0.47295705651
11,12,0.281619575767
12,13,0.188445722213
13,14,0.0721670161103
14,15,0.0565305414
15,16,0.0400476188911
16,17,0.0210608881586
17,18,7.68831533955e-05
