k-value,values
1,10332.0
2,8595.71459691
3,7580.91441122
4,6783.33489731
5,6195.7026934
6,5857.00265254
7,5559.30484444
8,5334.17543417
9,5168.97044644
10,5014.02438882
11,4846.57090456
12,4721.45335443
13,4568.41130708
14,4461.65938182
15,4409.49175098
16,4313.13318455
17,4229.69318756
18,4147.87362507
19,4056.50253388
20,4025.00972881
